4.09	-0.534	0.163
4.46	-0.324	0.089
5.09	0.178	0.053
5.47	0.292	0.073
6.15	0.621	0.168
6.64	0.476	0.189
3.566	-1.87	1.04
2.026	-0.713	0.090
2.352	-0.896	0.093
2.788	-1.334	0.233
0.86	-0.30	0.16
1.58	-0.400	0.037
3.78	-1.278	0.186
4.22	-0.833	0.153
4.62	-0.411	0.187
2.49	-0.751	0.153
2.93	-1.255	0.299
Q2		t20	dAzz_stat	dAzz_sys	dt21		dt22		dt22_stat	dt22_sys
									*1.113		*1.53
0.170	0	0.455E-02	3.78E-02	1.00E-02	1.20E-03	0.993E-02	5.59E-02
0.310	0	0.305E-01	7.38E-02	3.67E-02	3.83E-03	0.666E-01	9.91E-02
0.710	0	0.379E-01	3.69E-02	5.10E-02	4.00E-03	0.828E-01	6.88E-02
1.500	0	0.279E-01	3.69E-02	1.25E-02	1.00E-04	0.609E-01	4.77E-02
1.800	0	0.933E-01	3.78E-02	0.60E-02	1.00E-04	2.168E-01	4.74E-02
#	#	#	#	#	2.890	0	0.634E+00	0.00	0.00	0.0
Q2		t20	dAzz_stat	dAzz_sys	dt21		dt22		dt22_stat	dt22_sys
									*1.113		*1.53
0.170	0	0.455E-02	2.53E-02	1.00E-02	1.20E-03	0.993E-02	5.59E-02
0.310	0	0.305E-01	4.97E-02	3.67E-02	3.83E-03	0.666E-01	9.91E-02
0.710	0	0.379E-01	2.49E-02	5.10E-02	4.00E-03	0.828E-01	6.88E-02
1.500	0	0.279E-01	2.49E-02	1.25E-02	1.00E-04	0.609E-01	4.77E-02
1.800	0	0.933E-01	2.49E-02	0.60E-02	1.00E-04	2.168E-01	4.74E-02
#	#	#	#	#	2.890	0	0.634E+00	0.00	0.00	0.0
2.90	-1.294	0.122
3.143	-1.398	0.137
3.432	-1.384	0.137
3.808	-0.982	0.181
4.204	-0.818	0.275
4.64	0.557	0.345
1.74	-0.420	0.060
2.03	-0.590	0.130
3.78	-1.24	0.197
4.22	-0.82	0.186
4.62	-0.41	0.222
1.15	-0.181	0.070
2.228	-0.780	0.057
2.404	-0.877	0.066
2.603	-1.016	0.082
2.827	-1.172	0.094
3.063	-1.244	0.100
3.319	-1.251	0.113
3.560	-1.15	0.130
3.823	-1.13	0.140
4.410	-0.70	0.180	
